[ERROR] 114.156.22.199   => 133.189.232.233 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 202.247.220.33   => 210.101.109.237 	 real_cnt=4    	 estimate = 14.0  
[ERROR] 203.66.211.140   => 86.31.253.151   	 real_cnt=2    	 estimate = 30.0  
[ERROR] 203.66.211.140   => 46.152.74.144   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 122.116.159.53  	 real_cnt=2    	 estimate = 4.0   
[PASS]  114.156.22.199   => 133.117.218.50  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 220.246.135.90  	 real_cnt=2    	 estimate = 10.0  
[ERROR] 148.64.21.159    => 203.66.193.201  	 real_cnt=2    	 estimate = 78.0  
[ERROR] 114.156.22.199   => 133.117.82.84   	 real_cnt=2    	 estimate = 20.0  
[ERROR] 203.66.211.140   => 139.227.249.153 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 216.245.69.27    => 131.30.104.249  	 real_cnt=30   	 estimate = 38.0  
[ERROR] 131.31.98.203    => 172.39.49.195   	 real_cnt=6    	 estimate = 12.0  
[ERROR] 203.66.211.140   => 58.213.68.124   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 202.13.220.49    => 202.119.238.101 	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 35.4.114.208    	 real_cnt=2    	 estimate = 4.0   
[PASS]  203.66.211.140   => 153.119.112.141 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 163.221.49.231   => 130.219.28.50   	 real_cnt=2    	 estimate = 4.0   
[PASS]  203.66.211.140   => 153.22.245.238  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.68.116.252   => 203.227.82.6    	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 119.112.187.193 	 real_cnt=2    	 estimate = 4.0   
[PASS]  172.39.62.17     => 163.221.7.180   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 122.131.67.251  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 180.221.159.108 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 150.192.205.210  => 13.31.245.69    	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 119.7.59.226    	 real_cnt=2    	 estimate = 0.0   
[PASS]  35.35.17.59      => 203.66.211.140  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 150.192.178.199  => 64.9.32.129     	 real_cnt=2    	 estimate = 6.0   
[PASS]  130.45.2.70      => 202.13.221.90   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 198.12.67.26     => 150.177.131.152 	 real_cnt=2    	 estimate = 24.0  
[ERROR] 203.66.211.140   => 114.173.62.16   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 34.74.97.224     => 203.66.197.4    	 real_cnt=8    	 estimate = 132.0 
